assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.7767536753675369,0.9858536368026573,1.0,0.2
COMBINGYM_HIV-1_protease_fitness,100,100,0,0,0,100,5,5,0,0,0,0,0.34057005700570064,0.8808280024799289,0.5759563061245774,0.2
COMBINGYM_SaCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.19959195919591963,0.8767439993609376,0.39636041414401246,0.0
COMBINGYM_SpCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.21030903090309033,0.925532831984095,1.0,0.2
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.5760850364642651,0.8079983725097314,0.6510160803235873,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.32623841114027463,0.9410785439414976,0.921763792307937,0.0
COMBINGYM_eqFP611_blue_fluorescence,100,100,0,0,0,100,5,5,0,0,0,0,0.10351035103510353,0.7506356583965863,0.9511280351238373,0.2
FLAB_binding_hie2023efficient_MEDIUCA_H1Solomon_Kd,11,11,0,0,0,11,5,5,0,0,0,0,-0.10909090909090909,0.8049054630685387,1.0,0.4
FLAB_binding_hutchinson2023enhancement_multikd_fab,10,10,0,0,0,10,5,5,0,0,0,0,0.6606060606060606,0.9220112952070884,1.0,0.8
FLAB_binding_hutchinson2023enhancement_top200kd_fab,42,42,0,0,0,42,5,5,0,0,0,0,0.6089457904545823,0.9376177672507343,1.0,0.6
FLAB_binding_kothiwal2025htp_IL23R_ec50,13,13,0,0,0,13,5,5,0,0,0,0,-0.14285714285714285,0.753757258228208,0.8239552034963123,0.4
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2,100,100,0,0,0,100,5,5,0,0,0,0,-0.23079507950795083,0.8759170497627339,0.8344445510800756,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant,100,100,0,0,0,100,5,5,0,0,0,0,0.5362016201620163,0.824812633755318,0.7870233284296877,0.0
FLAB_binding_peterson2024integrated_ab_H1HA_kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.3388248989661184,0.3924538172694672,0.0540652333146624,0.0
FLAB_binding_rosace2023automated_kd_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,-0.4510262271024231,0.7118437474791399,0.9220306220513029,0.6
FLAB_binding_shanehsazzadeh2024igdesign_Bimagrumab-ACVR2B_kd,18,18,0,0,0,18,5,5,0,0,0,0,-0.11363642427326012,0.6220220650901119,1.0,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Eculizumab-C5_kd,30,30,0,0,0,30,5,5,0,0,0,0,0.09588431590656286,0.5923038357060448,0.5778609258900345,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd,45,45,0,0,0,45,5,5,0,0,0,0,0.18458498023715414,0.6312359118668894,0.4067201604814441,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd,32,32,0,0,0,32,5,5,0,0,0,0,0.28411694739434956,0.4933164579221917,0.1961538320814019,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.10385550126190511,0.6945992833595744,0.5860804746446416,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Utomilumab-TNFRSF9_kd,30,30,0,0,0,30,5,5,0,0,0,0,-0.38420467185761964,0.6476844369992857,0.18858560794044663,0.0
FLAB_binding_shanker2024unsupervised_Ly1404-BQ.1.1_IC50,14,14,0,0,0,14,5,5,0,0,0,0,0.3256327603036127,0.9272063866952421,1.0,0.6
FLAB_binding_warszawski2019_d44_Kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.16252269012765058,0.8811862845283986,0.9039113113427204,0.0
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er,100,100,0,0,0,100,5,5,0,0,0,0,-0.05606960696069608,0.9333728931957284,0.8831202615573618,0.2
FLAB_polyreactivity_rosace2023automated_CICRT1_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,-0.38181818181818183,0.7245358399489463,0.9275362318840594,0.4
FLAB_thermostability_hutchinson2023enhancement_multitm1_igg,10,10,0,0,0,10,5,5,0,0,0,0,0.19452977397762067,0.788053603063626,1.0,0.6
FLAB_thermostability_rosace2023automated_tm1_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,-0.11818181818181818,0.8769146575187463,0.9315068493150684,0.4
MEGASCALE_processed_dataset2_3_1CSQ.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4703750375037505,0.935703485640585,0.9723839245412431,0.6
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.33437743774377443,0.9271646588031152,1.0,0.6
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.36808880888088813,0.8638430873905464,0.5968520196035562,0.0
MEGASCALE_processed_dataset2_3_1PSE.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.18667866786678672,0.8107706595223095,0.3257201720569772,0.0
MEGASCALE_processed_dataset2_3_1QKH.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.16861686168616866,0.8578066476009603,0.7349559819387107,0.0
MEGASCALE_processed_dataset2_3_1UFM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.22869486948694873,0.894195580703107,0.6973876295707943,0.0
MEGASCALE_processed_dataset2_3_1V1C.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.45988598859886,0.9493058827989808,0.9683604963271462,0.4
MEGASCALE_processed_dataset2_3_1WCL.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4688028802880289,0.8091885864633909,0.4508584789266126,0.0
MEGASCALE_processed_dataset2_3_1ZHC.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.29650165016501656,0.937236673183354,0.784674928463393,0.0
MEGASCALE_processed_dataset2_3_2AMI.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6761236123612362,0.9747761510660685,0.9433275781271457,0.2
MEGASCALE_processed_dataset2_3_2D1U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3481548154815482,0.9674379371811351,0.910327874598915,0.0
MEGASCALE_processed_dataset2_3_2JN4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.12130813081308132,0.8661450088785956,0.68833778724177,0.0
MEGASCALE_processed_dataset2_3_2JT1.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.33750975097509756,0.9452438629835623,0.9086322121462678,0.0
MEGASCALE_processed_dataset2_3_2K52.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.39459945994599466,0.9142147238272367,0.9503579984470306,0.2
MEGASCALE_processed_dataset2_3_2K5N.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.11660366036603663,0.8740466916207832,0.9194487434020551,0.2
MEGASCALE_processed_dataset2_3_2KCM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5241524152415242,0.9640041555286581,1.0,0.2
MEGASCALE_processed_dataset2_3_2KT8.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7860666066606662,0.9702282798861945,1.0,0.4
MEGASCALE_processed_dataset2_3_2KVS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.11515151515151517,0.86948516534051,0.6337313064198616,0.0
MEGASCALE_processed_dataset2_3_2KXD.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7037863786378639,0.9462503039119449,0.5608036759188185,0.2
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5170957095709572,0.959518579439652,0.7650873879565543,0.0
MEGASCALE_processed_dataset2_3_2LXK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.0005640564056405642,0.8832182224581122,1.0,0.4
MEGASCALE_processed_dataset2_3_2M0X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.601968196819682,0.9752408908784577,1.0,0.4
MEGASCALE_processed_dataset2_3_2M0Y.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4691269126912692,0.9257526915170837,0.6182720915897766,0.0
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3982238223822383,0.9117588786721703,0.8401476994371732,0.2
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.11522352235223525,0.8421515702358623,0.5812340141798352,0.0
