assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.811809180918092,0.9907947327139636,1.0,0.6
COMBINGYM_HIV-1_protease_fitness|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.4494689468946895,0.9258391270084998,1.0,0.4
COMBINGYM_SaCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.16709270927092712,0.8503143306098256,0.3062933639576507,0.2
COMBINGYM_SpCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.22060606060606064,0.8820257415554962,0.6601031616848514,0.0
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.4600900090009002,0.876242162348785,0.9110976343442537,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.5666006600660067,0.9152877461106459,0.8697677725196661,0.0
COMBINGYM_eqFP611_blue_fluorescence|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.15710771077107713,0.650700316530734,0.1503175274115318,0.0
FLAB_binding_hutchinson2023enhancement_top200kd_fab|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.1350877192982456,0.7696191870159843,0.6605099689161746,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.29200120012001207,0.7714029223144893,0.6530782213704185,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant|T3_anchor_successor_ranking|0001,46,46,0,0,0,46,5,5,0,0,0,0,0.5436324390995991,0.827701961816534,0.6753123912484988,0.0
FLAB_binding_phillips2021binding_cr9114_h1_kd|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.5701648122179973,0.8938322922228622,0.8758126495385375,0.0
FLAB_binding_shanehsazzadeh2023unlocking_zerokd_trastuzumab|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,0.5300894737420643,0.8875307266439288,0.9310344827586214,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd|T3_anchor_successor_ranking|0001,11,11,0,0,0,11,5,5,0,0,0,0,0.36363636363636365,0.7653420609941792,0.8443377870022047,0.8
FLAB_binding_shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd|T3_anchor_successor_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,0.054945054945054944,0.5663971741207606,0.34269055253675357,0.4
FLAB_binding_shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd|T3_anchor_successor_ranking|0001,28,28,0,0,0,28,5,5,0,0,0,0,0.060763651862311065,0.7622165975194048,0.9333639705882356,0.4
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T3_anchor_successor_ranking|0001,24,24,0,0,0,24,5,5,0,0,0,0,0.27652173913043476,0.826396385195439,0.4853884021502091,0.2
MEGASCALE_processed_dataset2_3_1CSQ.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.7964912280701753,0.972741285084755,1.0,0.8
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.907017543859649,0.9755470707436041,1.0,0.8
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.8210526315789473,0.9577174816212778,1.0,0.8
MEGASCALE_processed_dataset2_3_1PSE.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.21578947368421048,0.5721102232658913,1.0,0.4
MEGASCALE_processed_dataset2_3_1QKH.pdb_protein_stability|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,0.4980694980694981,0.9163321356653857,0.783092078942994,0.2
MEGASCALE_processed_dataset2_3_1UFM.pdb_protein_stability|T3_anchor_successor_ranking|0001,54,54,0,0,0,54,5,5,0,0,0,0,0.2179149990470745,0.9007070622910629,0.7655706159023903,0.0
