model,model_id,task,metric,value
esm2,esm2_t33_650M_UR50D,T1_single_mutation_generation,NMS@40,0.7854278748141867
progen2_base,progen2_base,T1_single_mutation_generation,NMS@40,0.7708587799587129
prosst_2048,ProSST-2048,T1_single_mutation_generation,NMS@40,0.784722337378574
s3f,S3F,T1_single_mutation_generation,NMS@40,0.7804161551923524
s3f_msa,S3F-MSA,T1_single_mutation_generation,NMS@40,0.7815576829984212
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T1_single_mutation_generation,NMS@40,0.7932301272949077
esm2,esm2_t33_650M_UR50D,T1_single_mutation_generation,Recall@40,0.03699186991869918
progen2_base,progen2_base,T1_single_mutation_generation,Recall@40,0.02743902439024389
prosst_2048,ProSST-2048,T1_single_mutation_generation,Recall@40,0.04065040650406508
s3f,S3F,T1_single_mutation_generation,Recall@40,0.03638211382113822
s3f_msa,S3F-MSA,T1_single_mutation_generation,Recall@40,0.03638211382113819
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T1_single_mutation_generation,Recall@40,0.04268292682926834
esm2,esm2_t33_650M_UR50D,T2_random_multi_ranking,NDCG,0.8633811688534531
progen2_base,progen2_base,T2_random_multi_ranking,NDCG,0.8562686013598766
prosst_2048,ProSST-2048,T2_random_multi_ranking,NDCG,0.8657130576387733
s3f,S3F,T2_random_multi_ranking,NDCG,0.8626295950304737
s3f_msa,S3F-MSA,T2_random_multi_ranking,NDCG,0.870022469449425
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T2_random_multi_ranking,NDCG,0.8684344424297147
esm2,esm2_t33_650M_UR50D,T2_random_multi_ranking,NMS@5,0.7830873917043907
progen2_base,progen2_base,T2_random_multi_ranking,NMS@5,0.7886505893506218
prosst_2048,ProSST-2048,T2_random_multi_ranking,NMS@5,0.7829321529168328
s3f,S3F,T2_random_multi_ranking,NMS@5,0.7750632239841592
s3f_msa,S3F-MSA,T2_random_multi_ranking,NMS@5,0.7964354413867609
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T2_random_multi_ranking,NMS@5,0.8003165689584146
esm2,esm2_t33_650M_UR50D,T2_random_multi_ranking,Recall@5,0.1891891891891891
progen2_base,progen2_base,T2_random_multi_ranking,Recall@5,0.17837837837837833
prosst_2048,ProSST-2048,T2_random_multi_ranking,Recall@5,0.2108108108108107
s3f,S3F,T2_random_multi_ranking,Recall@5,0.17567567567567566
s3f_msa,S3F-MSA,T2_random_multi_ranking,Recall@5,0.2027027027027026
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T2_random_multi_ranking,Recall@5,0.2162162162162161
esm2,esm2_t33_650M_UR50D,T2_random_multi_ranking,spearman,0.25391897426042404
progen2_base,progen2_base,T2_random_multi_ranking,spearman,0.14052451125902357
prosst_2048,ProSST-2048,T2_random_multi_ranking,spearman,0.27765948737497087
