assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.6492529252925293,0.9817821248846578,1.0,0.2
COMBINGYM_HIV-1_protease_fitness,100,100,0,0,0,100,5,5,0,0,0,0,0.4577137713771378,0.9006755974456423,1.0,0.6
COMBINGYM_SaCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.17695769576957698,0.8827699864307461,1.0,0.2
COMBINGYM_SpCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.2031683168316832,0.9342192762335365,1.0,0.4
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.6467135301501934,0.7984001970154428,0.6208992855355288,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.5162951185977808,0.9015233812258737,0.8913212963700142,0.0
COMBINGYM_eqFP611_blue_fluorescence,100,100,0,0,0,100,5,5,0,0,0,0,0.2402520252025203,0.7263350010520465,0.9409799174544674,0.2
FLAB_binding_hie2023efficient_MEDIUCA_H1Solomon_Kd,11,11,0,0,0,11,5,5,0,0,0,0,-0.8272727272727273,0.7413549432819625,0.7037587102554886,0.0
FLAB_binding_hutchinson2023enhancement_multikd_fab,10,10,0,0,0,10,5,5,0,0,0,0,0.2606060606060606,0.883756082943179,1.0,0.4
FLAB_binding_hutchinson2023enhancement_top200kd_fab,42,42,0,0,0,42,5,5,0,0,0,0,-0.7350295762093834,0.662441076085138,0.2178744886098247,0.0
FLAB_binding_kothiwal2025htp_IL23R_ec50,13,13,0,0,0,13,5,5,0,0,0,0,0.08241758241758242,0.8107350532760152,0.8239552034963123,0.4
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2,100,100,0,0,0,100,5,5,0,0,0,0,-0.21410141014101414,0.8863354983786245,0.8973622448362303,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant,100,100,0,0,0,100,5,5,0,0,0,0,0.5372937293729374,0.875597874407126,0.7870233284296877,0.0
FLAB_binding_peterson2024integrated_ab_H1HA_kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.24870761688565854,0.4481925478023462,0.040449825498728956,0.0
FLAB_binding_rosace2023automated_kd_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,0.1913444599828462,0.8789100799593647,0.9220306220513029,0.6
FLAB_binding_shanehsazzadeh2024igdesign_Bimagrumab-ACVR2B_kd,18,18,0,0,0,18,5,5,0,0,0,0,-0.1880166292521213,0.6213219675679318,0.693834177023295,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Eculizumab-C5_kd,30,30,0,0,0,30,5,5,0,0,0,0,0.23025583982202452,0.6666799260529229,0.6306283101537805,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd,45,45,0,0,0,45,5,5,0,0,0,0,0.24492753623188404,0.6452820350155498,0.32447342026078185,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd,32,32,0,0,0,32,5,5,0,0,0,0,0.20621391343138273,0.4595433275640865,0.5719162419368417,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.15570824214155624,0.6898032988310321,0.3354913565916678,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Utomilumab-TNFRSF9_kd,30,30,0,0,0,30,5,5,0,0,0,0,-0.02380422691879867,0.7420413549723158,0.691598723856788,0.2
