assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6443804380438045,0.9816081076050228,0.99094100971843,0.6
COMBINGYM_HIV-1_protease_fitness|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.40649264926492656,0.9324002063361604,0.9982496679600095,0.4
COMBINGYM_SaCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.15381938193819383,0.8575703181538413,0.3071464880320944,0.4
COMBINGYM_SpCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.1943714371437144,0.8931212079856479,0.6980508922030584,0.0
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.5602880288028804,0.8702140284227321,0.850157494682922,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.42335433543354345,0.8910637525459051,0.837029194924706,0.0
COMBINGYM_eqFP611_blue_fluorescence|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.2656345634563457,0.7550665356067776,0.7433809747985785,0.0
FLAB_binding_hutchinson2023enhancement_top200kd_fab|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.44736842105263147,0.6741198169856881,0.49651399916627365,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.41915391539153923,0.7710361280363229,0.5390776469654233,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant|T3_anchor_successor_ranking|0001,46,46,0,0,0,46,5,5,0,0,0,0,0.4121492445266728,0.8330401213146855,0.9442924449185501,0.2
FLAB_binding_phillips2021binding_cr9114_h1_kd|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.48857894605421703,0.8523057571192656,0.6923844292669855,0.0
