assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6091209120912092,0.9730461064149117,0.9248297864039328,0.0
COMBINGYM_HIV-1_protease_fitness|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.23373537353735377,0.8889248428356331,0.9231469830429551,0.4
COMBINGYM_SaCas9_editing_activity_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.16756075607560758,0.8869924420080799,1.0,0.2
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.5271407140714073,0.8560055668419596,0.9402649019373012,0.0
COMBINGYM_eqFP611_blue_fluorescence|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.2032523252325233,0.751742546804473,0.8684117014094059,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T4_single_context_combo_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,-0.0027355290513185245,0.7569221091163199,0.9403232142966275,0.4
FLAB_binding_peterson2024integrated_ab_H1HA_kd|T4_single_context_combo_ranking|0001,39,39,0,0,0,39,5,5,0,0,0,0,0.005465863664067678,0.6471790818913183,0.8463186241508049,0.2
FLAB_binding_shanker2024unsupervised_Ly1404-BQ.1.1_IC50|T4_single_context_combo_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,0.6578661846674337,0.8769250176394174,1.0,0.6
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.247932793279328,0.909900940888799,0.5898620716621379,0.0
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability|T4_single_context_combo_ranking|0001,97,97,0,0,0,97,5,5,0,0,0,0,0.020500210393435726,0.9187795450003705,1.0,0.4
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.31950795079507954,0.8876582006479888,0.9695143092293552,0.4
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.30041404140414046,0.9552757648087108,0.8583302633886323,0.2
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.03324332433243325,0.8793876442478175,0.4378537996134746,0.0
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.17262526252625265,0.8483220639653495,1.0,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.4157215721572158,0.9379605136334704,1.0,0.6
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3955235523552356,0.9132871363037891,0.9140113552886703,0.2
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.45717371737173723,0.9404404835596925,0.7551171143465141,0.0
PROTEINGYM_A4_HUMAN_Seuma_2022|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.4039676086655106,0.878510376367248,0.8170575722700566,0.2
PROTEINGYM_CAPSD_AAV2S_Sinai_2021|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.32616861686168624,0.9025400198404632,0.6984013495964867,0.0
PROTEINGYM_DLG4_HUMAN_Faure_2021|T4_single_context_combo_ranking|0001,87,87,0,0,0,87,5,5,0,0,0,0,0.627973627501723,0.9460953988552743,0.8657806272661707,0.0
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016|T4_single_context_combo_ranking|0001,87,87,0,0,0,87,5,5,0,0,0,0,0.15766931544798427,0.9076925542424775,0.9362429223702124,0.0
