assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.5384578457845786,0.9744147543365385,1.0,0.2
COMBINGYM_HIV-1_protease_fitness,100,100,0,0,0,100,5,5,0,0,0,0,0.3984158415841585,0.8930726114004109,0.6460874435664192,0.4
COMBINGYM_SaCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.0020522052205220525,0.946814063024288,1.0,0.4
COMBINGYM_SpCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.11975997599759979,0.9146778332839405,1.0,0.2
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.5452788636276015,0.8068687587435495,0.6984300617333415,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.45983377859816993,0.9017928834443657,0.9533302879910844,0.0
COMBINGYM_eqFP611_blue_fluorescence,100,100,0,0,0,100,5,5,0,0,0,0,0.28880888088808887,0.8546857457934458,0.9511280351238373,0.2
FLAB_binding_hie2023efficient_MEDIUCA_H1Solomon_Kd,11,11,0,0,0,11,5,5,0,0,0,0,-0.9090909090909091,0.6667839078367037,0.7272080463136426,0.2
FLAB_binding_hutchinson2023enhancement_multikd_fab,10,10,0,0,0,10,5,5,0,0,0,0,-0.11515151515151516,0.7138790706639259,1.0,0.6
FLAB_binding_hutchinson2023enhancement_top200kd_fab,42,42,0,0,0,42,5,5,0,0,0,0,-0.8267563406531075,0.6681006476538317,0.2178744886098247,0.0
FLAB_binding_kothiwal2025htp_IL23R_ec50,13,13,0,0,0,13,5,5,0,0,0,0,-0.15384615384615385,0.740201655329069,0.9603933351543295,0.2
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2,100,100,0,0,0,100,5,5,0,0,0,0,-0.1621602160216022,0.8601675445212437,0.8327591546683825,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant,100,100,0,0,0,100,5,5,0,0,0,0,0.6656465646564658,0.9181454062463179,0.9763516594813492,0.4
FLAB_binding_peterson2024integrated_ab_H1HA_kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.30268917698659187,0.3748485467066001,0.01526132103925202,0.0
FLAB_binding_rosace2023automated_kd_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,0.5740333799485385,0.9587776470388217,1.0,0.8
FLAB_binding_shanehsazzadeh2024igdesign_Bimagrumab-ACVR2B_kd,18,18,0,0,0,18,5,5,0,0,0,0,-0.17045463640989017,0.593821918993176,0.47981534931142394,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Eculizumab-C5_kd,30,30,0,0,0,30,5,5,0,0,0,0,-0.14838709677419357,0.5645879201211289,0.17305970660958464,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd,45,45,0,0,0,45,5,5,0,0,0,0,-0.38893280632411065,0.575706542291809,0.19257773319959837,0.0
