assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5138193819381939,0.9621231016481668,0.9752831098272989,0.2
COMBINGYM_HIV-1_protease_fitness|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3921152115211522,0.9492670525188434,0.9982496679600095,0.6
COMBINGYM_SaCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.009012901290129015,0.9219648607391474,1.0,0.2
COMBINGYM_SpCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.0043804380438043815,0.8687808071254677,0.6601031616848514,0.0
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.323936393639364,0.8983141213304154,0.903645429904662,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.491929192919292,0.8823625565542095,0.9071136318460853,0.0
COMBINGYM_eqFP611_blue_fluorescence|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.2960456045604561,0.8336391889759035,0.9953608735558199,0.4
FLAB_binding_hutchinson2023enhancement_top200kd_fab|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.4456140350877192,0.7133228865193645,0.49651399916627365,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.4353315331533154,0.7636044636304385,0.4927728867930876,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant|T3_anchor_successor_ranking|0001,46,46,0,0,0,46,5,5,0,0,0,0,0.7064446500154178,0.9402954161368381,1.0,0.4
FLAB_binding_phillips2021binding_cr9114_h1_kd|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.40207176090748104,0.9771321217240182,0.9644984983478545,0.0
FLAB_binding_shanehsazzadeh2023unlocking_zerokd_trastuzumab|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,0.6089978873904095,0.9381750847725587,0.9310344827586214,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd|T3_anchor_successor_ranking|0001,11,11,0,0,0,11,5,5,0,0,0,0,-0.42727272727272725,0.6150470691618508,0.2839538202101436,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd|T3_anchor_successor_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,-0.4725274725274725,0.43534599724691775,0.23964593613793864,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd|T3_anchor_successor_ranking|0001,28,28,0,0,0,28,5,5,0,0,0,0,0.5282605770011728,0.8166286714311466,0.9333639705882356,0.6
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T3_anchor_successor_ranking|0001,24,24,0,0,0,24,5,5,0,0,0,0,0.24869565217391304,0.8300717782560831,0.4855594051359057,0.4
MEGASCALE_processed_dataset2_3_1CSQ.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.694736842105263,0.9718650321163939,1.0,0.8
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.8947368421052629,0.9910015819941095,1.0,1.0
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.7842105263157894,0.9621881475362453,1.0,0.8
MEGASCALE_processed_dataset2_3_1PSE.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.2228070175438596,0.6366482274795047,1.0,0.4
MEGASCALE_processed_dataset2_3_1QKH.pdb_protein_stability|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,-0.11196911196911197,0.8182110224010514,0.5172293592592059,0.0
MEGASCALE_processed_dataset2_3_1UFM.pdb_protein_stability|T3_anchor_successor_ranking|0001,54,54,0,0,0,54,5,5,0,0,0,0,0.7305889079473985,0.9817021204126267,1.0,0.8
MEGASCALE_processed_dataset2_3_1V1C.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.6951526425210635,0.9341088692175341,0.9348144700292548,0.2
MEGASCALE_processed_dataset2_3_1WCL.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.3596491228070175,0.9280004661053788,0.9615154005303163,0.6
MEGASCALE_processed_dataset2_3_1ZHC.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.2403508771929824,0.9744010740581551,1.0,0.2
MEGASCALE_processed_dataset2_3_2AMI.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.7036874931611772,0.9560902116196194,1.0,0.6
MEGASCALE_processed_dataset2_3_2D1U.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.726315789473684,0.9400109609665585,1.0,0.8
MEGASCALE_processed_dataset2_3_2JN4.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.5776343144764197,0.9582458459261163,0.857640381617843,0.0
MEGASCALE_processed_dataset2_3_2JT1.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.18421052631578944,0.9739601220718825,0.9437895987161184,0.6
MEGASCALE_processed_dataset2_3_2K52.pdb_protein_stability|T3_anchor_successor_ranking|0001,73,73,0,0,0,73,5,5,0,0,0,0,0.4561582130075281,0.9051917030987721,0.5681465098413719,0.0
MEGASCALE_processed_dataset2_3_2K5N.pdb_protein_stability|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,0.581981981981982,0.8696541236754307,1.0,0.4
MEGASCALE_processed_dataset2_3_2KCM.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.507017543859649,0.9601073167211163,1.0,0.8
MEGASCALE_processed_dataset2_3_2KT8.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.7894736842105261,0.9893632789658419,1.0,0.8
MEGASCALE_processed_dataset2_3_2KVS.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.7298245614035086,0.9792878744985508,1.0,1.0
MEGASCALE_processed_dataset2_3_2KXD.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.4964912280701753,0.9689136169596562,1.0,0.8
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.5719298245614034,0.9928368431291187,1.0,0.8
MEGASCALE_processed_dataset2_3_2LXK.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.14736842105263154,0.7383045670034442,0.7105086695686396,0.2
MEGASCALE_processed_dataset2_3_2M0X.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.9052631578947367,0.9814846103650986,1.0,0.8
MEGASCALE_processed_dataset2_3_2M0Y.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,-0.11543932596564173,0.6415765344677714,0.27272461373648293,0.0
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,-0.03184155815734763,0.8954189568298021,1.0,0.4
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.20350877192982453,0.7721961587452268,1.0,0.2
MEGASCALE_processed_dataset2_3_2MA4.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.21194879089615928,0.817425487767074,0.850694445007572,0.2
MEGASCALE_processed_dataset2_3_2O2W.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.6175438596491227,0.9834642817354082,1.0,0.6
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.6719298245614034,0.8873507614213582,1.0,0.6
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.719298245614035,0.9734534304096846,1.0,0.8
