assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.48680468046804687,0.9679259325467888,0.9664507862425904,0.2
COMBINGYM_HIV-1_protease_fitness|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.18054605460546058,0.8584000142550562,0.7380370982055836,0.4
COMBINGYM_SaCas9_editing_activity_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.10765076507650767,0.8305448421333506,1.0,0.2
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.4426402640264027,0.8585906530390196,0.949182745518959,0.0
COMBINGYM_eqFP611_blue_fluorescence|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.22335433543354338,0.8143855411400733,1.0,0.4
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T4_single_context_combo_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.2614071561439982,0.7476995108325739,0.3591294212267789,0.0
FLAB_binding_peterson2024integrated_ab_H1HA_kd|T4_single_context_combo_ranking|0001,39,39,0,0,0,39,5,5,0,0,0,0,-0.25507363765649166,0.6009098051161441,0.1867923373523472,0.0
FLAB_binding_shanker2024unsupervised_Ly1404-BQ.1.1_IC50|T4_single_context_combo_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,0.22442257804708443,0.5353036574244826,0.4764665757162348,0.4
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.34887488748874895,0.928593559048001,0.6654744106681958,0.2
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability|T4_single_context_combo_ranking|0001,97,97,0,0,0,97,5,5,0,0,0,0,0.42433726067746685,0.9518351114291116,1.0,0.8
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6937293729372939,0.9761113493183274,1.0,0.8
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6123012301230124,0.977903259556655,1.0,0.4
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.22420642064206425,0.8937534093916242,0.4587620628594252,0.0
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.48555655565556566,0.9136412804951317,1.0,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.48739273927392746,0.9122554868062623,1.0,0.4
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6260906090609062,0.9573761299575837,1.0,0.4
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.4075127512751276,0.9408002087325017,0.7761728693184377,0.2
PROTEINGYM_A4_HUMAN_Seuma_2022|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.4883302980228941,0.8922849985035589,0.7729981973499408,0.0
PROTEINGYM_CAPSD_AAV2S_Sinai_2021|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.43985598559855993,0.8928880010114515,0.730477851520893,0.0
PROTEINGYM_DLG4_HUMAN_Faure_2021|T4_single_context_combo_ranking|0001,87,87,0,0,0,87,5,5,0,0,0,0,0.691562894421475,0.9544786163860375,0.920047076972602,0.0
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016|T4_single_context_combo_ranking|0001,87,87,0,0,0,87,5,5,0,0,0,0,0.5003098345119196,0.9333840228312237,0.9807956104536084,0.2
PROTEINGYM_GRB2_HUMAN_Faure_2021|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.7703930393039305,0.9434083965404655,0.8583888756626837,0.2
PROTEINGYM_PABP_YEAST_Melamed_2013|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6814761476147616,0.9011120690568002,0.7747013770814855,0.2
PROTEINGYM_PHOT_CHLRE_Chen_2023|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.40748874887488756,0.9118052427968052,0.9769641285231471,0.2
PROTEINGYM_Q6WV12_9MAXI_Somermeyer_2022|T4_single_context_combo_ranking|0001,98,98,0,0,0,98,5,5,0,0,0,0,0.2225332087981546,0.8021576792488434,0.5271647588743205,0.0
PROTEINGYM_Q8WTC7_9CNID_Somermeyer_2022|T4_single_context_combo_ranking|0001,98,98,0,0,0,98,5,5,0,0,0,0,0.38290967746048754,0.8320977063327955,0.7872006992513502,0.0
PROTEINGYM_RASK_HUMAN_Weng_2022_abundance|T4_single_context_combo_ranking|0001,95,95,0,0,0,95,5,5,0,0,0,0,0.4746920492721164,0.9387403317235253,1.0,0.4
PROTEINGYM_RASK_HUMAN_Weng_2022_binding-DARPin_K55|T4_single_context_combo_ranking|0001,95,95,0,0,0,95,5,5,0,0,0,0,0.5274216125419932,0.9585845357904832,0.9894030796081941,0.4
PROTEINGYM_YAP1_HUMAN_Araya_2012|T4_single_context_combo_ranking|0001,90,90,0,0,0,90,5,5,0,0,0,0,0.4898464831049101,0.6752210579363418,0.5308849473870078,0.6
