assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.7370057005700571,0.9851795468498514,1.0,0.4
COMBINGYM_HIV-1_protease_fitness,100,100,0,0,0,100,5,5,0,0,0,0,0.320960096009601,0.8712284216493756,0.5759563061245774,0.2
COMBINGYM_SaCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.008352835283528355,0.8658731935439005,1.0,0.2
COMBINGYM_SpCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.23318331833183323,0.9414028735457673,1.0,0.2
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.6264962288809255,0.7994640260962202,0.5494770643706124,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.4363947315114997,0.9181892021012837,0.901842213508165,0.0
COMBINGYM_eqFP611_blue_fluorescence,100,100,0,0,0,100,5,5,0,0,0,0,0.561848184818482,0.9403070460491247,1.0,0.4
FLAB_binding_hie2023efficient_MEDIUCA_H1Solomon_Kd,11,11,0,0,0,11,5,5,0,0,0,0,-0.5272727272727272,0.7120524733169694,1.0,0.2
FLAB_binding_hutchinson2023enhancement_multikd_fab,10,10,0,0,0,10,5,5,0,0,0,0,0.05454545454545454,0.8484253176939031,1.0,0.6
FLAB_binding_hutchinson2023enhancement_top200kd_fab,42,42,0,0,0,42,5,5,0,0,0,0,0.6181832914674662,0.8911377614340014,0.7387327602694793,0.0
FLAB_binding_kothiwal2025htp_IL23R_ec50,13,13,0,0,0,13,5,5,0,0,0,0,-0.06593406593406594,0.7263021644345495,0.7872166074842939,0.2
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2,100,100,0,0,0,100,5,5,0,0,0,0,-0.25891389138913895,0.8778315422252969,0.8344445510800756,0.0
