assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.7996759675967599,0.9896301636979449,0.99094100971843,0.4
COMBINGYM_HIV-1_protease_fitness|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.4558415841584159,0.897340395940728,0.9982496679600095,0.2
COMBINGYM_SaCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.07323132313231324,0.9318398347676128,1.0,0.4
COMBINGYM_SpCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.21884188418841888,0.8823144306268407,0.6601031616848514,0.0
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.5001500150015002,0.8763660945080427,0.9204542869277904,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.6807680768076809,0.9056551393457837,0.8697677725196661,0.0
COMBINGYM_eqFP611_blue_fluorescence|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6083048304830484,0.9353932616628579,0.9490854834223249,0.4
FLAB_binding_hutchinson2023enhancement_top200kd_fab|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.3070175438596491,0.7271319551686999,0.555512192891137,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.35578757875787587,0.7659285670412213,0.6530782213704185,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant|T3_anchor_successor_ranking|0001,46,46,0,0,0,46,5,5,0,0,0,0,0.6308356460067838,0.8710106223788701,0.9442924449185501,0.2
FLAB_binding_phillips2021binding_cr9114_h1_kd|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.6214905682451158,0.8831643320135016,0.8758126495385375,0.0
FLAB_binding_shanehsazzadeh2023unlocking_zerokd_trastuzumab|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,0.4894123795938146,0.8877828628607679,0.9310344827586214,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd|T3_anchor_successor_ranking|0001,11,11,0,0,0,11,5,5,0,0,0,0,-0.01818181818181818,0.6642095078177795,0.8443377870022047,0.8
