assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.7361896189618963,0.9817318496466572,1.0,0.4
COMBINGYM_HIV-1_protease_fitness|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.22942694269426947,0.8960729443234098,1.0,0.4
COMBINGYM_SaCas9_editing_activity_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.0730873087308731,0.8075330482795776,1.0,0.2
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.48082808280828093,0.8658560361039699,0.8859874177941346,0.0
COMBINGYM_eqFP611_blue_fluorescence|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5226162616261627,0.9128752393956125,0.8135915376058677,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T4_single_context_combo_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.08698982383192908,0.8008708527932239,0.9403232142966275,0.6
FLAB_binding_peterson2024integrated_ab_H1HA_kd|T4_single_context_combo_ranking|0001,39,39,0,0,0,39,5,5,0,0,0,0,-0.24363581184094263,0.6417336136792156,0.4023502050309075,0.0
FLAB_binding_shanker2024unsupervised_Ly1404-BQ.1.1_IC50|T4_single_context_combo_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,-0.2090210285732649,0.5257602898817306,0.13540245566166448,0.2
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.24003600360036007,0.9110708983265797,0.5921436507049371,0.0
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability|T4_single_context_combo_ranking|0001,97,97,0,0,0,97,5,5,0,0,0,0,0.3278061224489796,0.9335465614568429,1.0,0.6
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5494269426942695,0.9074569279990387,0.9695143092293552,0.2
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.39075907590759085,0.9803495460535058,1.0,0.6
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.41080108010801086,0.9072510998976261,0.5697991091957246,0.0
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.13363336333633366,0.8393338300140157,1.0,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3218841884188419,0.9143947400157165,1.0,0.4
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.7493069306930694,0.9742346112916096,1.0,0.6
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.43997599759976,0.942838649710877,0.7761728693184377,0.2
PROTEINGYM_A4_HUMAN_Seuma_2022|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.4897404432678607,0.8988429496011927,0.7305557341971284,0.0
PROTEINGYM_CAPSD_AAV2S_Sinai_2021|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5224722472247225,0.9334666892888417,0.8783855966775139,0.2
PROTEINGYM_DLG4_HUMAN_Faure_2021|T4_single_context_combo_ranking|0001,87,87,0,0,0,87,5,5,0,0,0,0,0.5475438668491391,0.9514726987901456,0.993331932143315,0.2
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016|T4_single_context_combo_ranking|0001,87,87,0,0,0,87,5,5,0,0,0,0,0.651181016257199,0.9644289836080265,0.9581215252782141,0.2
PROTEINGYM_GRB2_HUMAN_Faure_2021|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6380798079807982,0.9338760432806082,0.93606204909352,0.4
PROTEINGYM_PABP_YEAST_Melamed_2013|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6970177017701772,0.9145693627539134,0.8507748081403145,0.4
PROTEINGYM_PHOT_CHLRE_Chen_2023|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.8065526552655267,0.9856527635715996,1.0,0.8
PROTEINGYM_Q6WV12_9MAXI_Somermeyer_2022|T4_single_context_combo_ranking|0001,98,98,0,0,0,98,5,5,0,0,0,0,0.15803147623423844,0.8825829252710194,0.9769137572273696,0.4
PROTEINGYM_Q8WTC7_9CNID_Somermeyer_2022|T4_single_context_combo_ranking|0001,98,98,0,0,0,98,5,5,0,0,0,0,0.2671167811079446,0.9043715899479038,0.8057351037683237,0.0
PROTEINGYM_RASK_HUMAN_Weng_2022_abundance|T4_single_context_combo_ranking|0001,95,95,0,0,0,95,5,5,0,0,0,0,0.3512038073908174,0.9219467325345533,0.9461043789556082,0.2
PROTEINGYM_RASK_HUMAN_Weng_2022_binding-DARPin_K55|T4_single_context_combo_ranking|0001,95,95,0,0,0,95,5,5,0,0,0,0,0.5569428891377378,0.9620357482100488,0.9894030796081941,0.4
PROTEINGYM_YAP1_HUMAN_Araya_2012|T4_single_context_combo_ranking|0001,90,90,0,0,0,90,5,5,0,0,0,0,0.29446433716096637,0.6284646724758666,0.2393337099106874,0.2
