assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.7357815781578159,0.9847863130452803,1.0,0.2
COMBINGYM_HIV-1_protease_fitness,100,100,0,0,0,100,5,5,0,0,0,0,0.36889288928892894,0.9011166333655033,0.5759563061245774,0.2
COMBINGYM_SaCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.08104410441044106,0.9507320207255555,1.0,0.4
COMBINGYM_SpCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.24978097809780983,0.9343584961707442,1.0,0.2
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.6570382802045701,0.7897064306159205,0.4657755372086685,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.5376818988888439,0.8995088147004426,0.835739543239574,0.0
COMBINGYM_eqFP611_blue_fluorescence,100,100,0,0,0,100,5,5,0,0,0,0,0.1180918091809181,0.8163934892994137,1.0,0.4
FLAB_binding_hie2023efficient_MEDIUCA_H1Solomon_Kd,11,11,0,0,0,11,5,5,0,0,0,0,-0.4818181818181818,0.7285031893344597,0.9662429561531635,0.2
FLAB_binding_hutchinson2023enhancement_multikd_fab,10,10,0,0,0,10,5,5,0,0,0,0,0.15151515151515152,0.8579822245204322,0.7455806569042203,0.6
FLAB_binding_hutchinson2023enhancement_top200kd_fab,42,42,0,0,0,42,5,5,0,0,0,0,0.6585365853658537,0.9074255856225941,0.9395194519729545,0.2
FLAB_binding_kothiwal2025htp_IL23R_ec50,13,13,0,0,0,13,5,5,0,0,0,0,-0.25274725274725274,0.7015550687687611,0.661567877629063,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2,100,100,0,0,0,100,5,5,0,0,0,0,-0.23104710471047107,0.8809312989854858,0.8344445510800756,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant,100,100,0,0,0,100,5,5,0,0,0,0,0.5826702670267028,0.8298664990826324,0.7870233284296877,0.0
FLAB_binding_peterson2024integrated_ab_H1HA_kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.3855397105919261,0.3963394861612427,0.009651428325218672,0.0
FLAB_binding_rosace2023automated_kd_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,-0.1138955118945513,0.767917560307775,0.9220306220513029,0.6
FLAB_binding_shanehsazzadeh2024igdesign_Bimagrumab-ACVR2B_kd,18,18,0,0,0,18,5,5,0,0,0,0,-0.5010333252048287,0.5572607304740299,0.22626248814722108,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Eculizumab-C5_kd,30,30,0,0,0,30,5,5,0,0,0,0,0.2444938820912125,0.5988543795803684,0.5778609258900345,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd,45,45,0,0,0,45,5,5,0,0,0,0,0.027536231884057967,0.583500263858229,0.23019057171514543,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd,32,32,0,0,0,32,5,5,0,0,0,0,0.22711025665909618,0.4611976231350316,0.1372465799034798,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd,100,100,0,0,0,100,5,5,0,0,0,0,0.14103633478699693,0.727609929991423,0.5860804746446416,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Utomilumab-TNFRSF9_kd,30,30,0,0,0,30,5,5,0,0,0,0,-0.30812013348164635,0.6785566495846937,0.691598723856788,0.2
FLAB_binding_shanker2024unsupervised_Ly1404-BQ.1.1_IC50,14,14,0,0,0,14,5,5,0,0,0,0,0.3762378514318768,0.9818258523485139,1.0,0.8
FLAB_binding_warszawski2019_d44_Kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.1343734529622094,0.8979689151082754,0.9039113113427204,0.0
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er,100,100,0,0,0,100,5,5,0,0,0,0,0.11279927992799282,0.9550355910063605,0.8831202615573618,0.2
FLAB_polyreactivity_rosace2023automated_CICRT1_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,-0.3181818181818182,0.7383641232931449,0.9275362318840594,0.4
FLAB_thermostability_hutchinson2023enhancement_multitm1_igg,10,10,0,0,0,10,5,5,0,0,0,0,-0.05471149893120581,0.7532619358344274,0.863636363636365,0.4
FLAB_thermostability_rosace2023automated_tm1_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,-0.2545454545454545,0.8713661035041562,0.9315068493150684,0.4
MEGASCALE_processed_dataset2_3_1CSQ.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5842904290429044,0.9499650075994133,0.9723839245412431,0.6
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.30809480948094814,0.9373952492630239,1.0,0.6
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.42798679867986805,0.9137222640812476,0.9370103001798488,0.2
MEGASCALE_processed_dataset2_3_1PSE.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.20297629762976302,0.7938730373061269,0.2533280681859879,0.0
MEGASCALE_processed_dataset2_3_1QKH.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.02360636063606361,0.7880484039111444,0.42420633586133244,0.0
MEGASCALE_processed_dataset2_3_1UFM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.2561776177617762,0.9105100799334345,1.0,0.2
MEGASCALE_processed_dataset2_3_1V1C.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.454929492949295,0.934597770840427,1.0,0.4
MEGASCALE_processed_dataset2_3_1WCL.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.45813381338133824,0.825154314688335,0.4508584789266126,0.0
MEGASCALE_processed_dataset2_3_1ZHC.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.2751395139513952,0.9386379616125985,0.784674928463393,0.0
MEGASCALE_processed_dataset2_3_2AMI.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.666858685868587,0.9770959149699102,0.9506287913458036,0.4
MEGASCALE_processed_dataset2_3_2D1U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3560756075607561,0.9580058035036817,0.910327874598915,0.0
MEGASCALE_processed_dataset2_3_2JN4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.22919891989198923,0.9485134711404286,0.9722629453993057,0.2
MEGASCALE_processed_dataset2_3_2JT1.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.18419441944194423,0.9403007335716032,0.9502841441663801,0.2
MEGASCALE_processed_dataset2_3_2K52.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.44058805880588064,0.9008062159961154,0.8751421446995936,0.2
MEGASCALE_processed_dataset2_3_2K5N.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.08492049204920493,0.859980904460103,0.9194487434020551,0.2
MEGASCALE_processed_dataset2_3_2KCM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5585598559855987,0.9676886578091004,1.0,0.2
MEGASCALE_processed_dataset2_3_2KT8.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7933513351335135,0.965117951322959,1.0,0.2
MEGASCALE_processed_dataset2_3_2KVS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6587458745874588,0.9631982788378025,1.0,0.4
MEGASCALE_processed_dataset2_3_2KXD.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6894809480948096,0.9390602641670999,0.5608036759188185,0.2
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.49687368736873694,0.9538544698996759,0.7650873879565543,0.0
MEGASCALE_processed_dataset2_3_2LXK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.037071707170717075,0.9128276077193445,1.0,0.4
MEGASCALE_processed_dataset2_3_2M0X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6883408340834085,0.9821908127992208,1.0,0.6
MEGASCALE_processed_dataset2_3_2M0Y.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.37640564056405645,0.9252902560742852,0.6756855962546574,0.0
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5231083108310832,0.9213582598216975,0.8401476994371732,0.2
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.050117011701170125,0.8289831959969555,0.5852306232155621,0.0
MEGASCALE_processed_dataset2_3_2MA4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.591959195919592,0.9533104057818711,0.9095097769559239,0.4
MEGASCALE_processed_dataset2_3_2O2W.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3430543054305431,0.9255821659274673,0.8667758291611837,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5323852385238524,0.9587386722879743,0.9742920647306432,0.2
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7564836483648366,0.9685994176130558,0.9628760185324076,0.2
MEGASCALE_processed_dataset2_3_2RRT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5791179117911792,0.9554262745808917,1.0,0.6
