assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.7769576957695771,0.9869087270355994,0.9893719518604734,0.4
COMBINGYM_HIV-1_protease_fitness|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.43998799879988004,0.9443580580454196,0.9982496679600095,0.6
COMBINGYM_SaCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.09554155415541556,0.9382654676808077,1.0,0.4
COMBINGYM_SpCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.2364596459645965,0.8865683333621821,0.6601031616848514,0.0
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.4967416741674168,0.8704865288733898,0.9204542869277904,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.6864566456645665,0.8991021325093249,0.8697677725196661,0.0
COMBINGYM_eqFP611_blue_fluorescence|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.15368736873687372,0.7360483173157059,0.9116787868415497,0.2
FLAB_binding_hutchinson2023enhancement_top200kd_fab|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.4175438596491227,0.7299272599506934,0.555512192891137,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.4093129312931294,0.7470345629847448,0.4927728867930876,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant|T3_anchor_successor_ranking|0001,46,46,0,0,0,46,5,5,0,0,0,0,0.558186864014801,0.8571367203018041,0.9442924449185501,0.2
FLAB_binding_phillips2021binding_cr9114_h1_kd|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.7156558058580123,0.8762780853507752,0.8758126495385375,0.0
FLAB_binding_shanehsazzadeh2023unlocking_zerokd_trastuzumab|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,0.5598249444643608,0.9066737414396608,0.9310344827586214,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd|T3_anchor_successor_ranking|0001,11,11,0,0,0,11,5,5,0,0,0,0,-0.045454545454545456,0.6754903637840397,0.8443377870022047,0.8
FLAB_binding_shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd|T3_anchor_successor_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,-0.2571428571428571,0.5206311763831514,0.23964593613793864,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd|T3_anchor_successor_ranking|0001,28,28,0,0,0,28,5,5,0,0,0,0,0.4174079688739837,0.8706576276905258,0.9333639705882356,0.4
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T3_anchor_successor_ranking|0001,24,24,0,0,0,24,5,5,0,0,0,0,0.20956521739130435,0.8299434295803285,0.4855594051359057,0.4
