assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.7140594059405941,0.9791409007527168,0.9664507862425904,0.2
COMBINGYM_HIV-1_protease_fitness|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.19333933393339336,0.8819161901536439,0.7380370982055836,0.2
COMBINGYM_SaCas9_editing_activity_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.003336333633363337,0.9094859551017273,1.0,0.2
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.5623762376237624,0.8693174042498258,0.8162473076150172,0.0
COMBINGYM_eqFP611_blue_fluorescence|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.00922892289228923,0.710871992998752,0.781280292865575,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T4_single_context_combo_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.12594375752270487,0.8112075948046152,0.9403232142966275,0.6
FLAB_binding_peterson2024integrated_ab_H1HA_kd|T4_single_context_combo_ranking|0001,39,39,0,0,0,39,5,5,0,0,0,0,-0.18209423577143988,0.6636236767306322,0.4738356080543485,0.2
FLAB_binding_shanker2024unsupervised_Ly1404-BQ.1.1_IC50|T4_single_context_combo_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,0.3762378514318768,0.9818258523485139,1.0,0.8
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3216081608160817,0.9296009709217574,0.6109161476287907,0.0
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability|T4_single_context_combo_ranking|0001,97,97,0,0,0,97,5,5,0,0,0,0,0.19832211235009467,0.9335446940033255,1.0,0.6
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.46396639663966405,0.9233928054866724,0.9695143092293552,0.4
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3608400840084009,0.964901871584754,1.0,0.4
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3005580558055806,0.8999150957960622,0.5697991091957246,0.0
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.23659165916591662,0.8691071472375268,1.0,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.39345934593459353,0.9336154705547298,1.0,0.4
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6777797779777979,0.9683907395279886,1.0,0.6
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5292889288928894,0.9519844428776811,1.0,0.4
PROTEINGYM_A4_HUMAN_Seuma_2022|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.4890983771350461,0.888442076298301,0.974753074639997,0.2
PROTEINGYM_CAPSD_AAV2S_Sinai_2021|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5813021302130214,0.9405840734899072,0.8783855966775139,0.2
PROTEINGYM_DLG4_HUMAN_Faure_2021|T4_single_context_combo_ranking|0001,87,87,0,0,0,87,5,5,0,0,0,0,0.5720391304605311,0.9484811996770923,0.993331932143315,0.2
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016|T4_single_context_combo_ranking|0001,87,87,0,0,0,87,5,5,0,0,0,0,0.666326456222206,0.9500781929378151,0.9807956104536084,0.2
PROTEINGYM_GRB2_HUMAN_Faure_2021|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6564656465646566,0.9375456336056324,0.93606204909352,0.4
PROTEINGYM_PABP_YEAST_Melamed_2013|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6821242124212422,0.9227079019638695,0.8507748081403145,0.4
PROTEINGYM_PHOT_CHLRE_Chen_2023|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.7126672667266728,0.9753249982045105,1.0,0.8
PROTEINGYM_Q6WV12_9MAXI_Somermeyer_2022|T4_single_context_combo_ranking|0001,98,98,0,0,0,98,5,5,0,0,0,0,0.2940034491897233,0.8942715565227191,0.7285058536235565,0.0
PROTEINGYM_Q8WTC7_9CNID_Somermeyer_2022|T4_single_context_combo_ranking|0001,98,98,0,0,0,98,5,5,0,0,0,0,0.3495272523254851,0.9112747024566731,0.8056871615955726,0.0
PROTEINGYM_RASK_HUMAN_Weng_2022_abundance|T4_single_context_combo_ranking|0001,95,95,0,0,0,95,5,5,0,0,0,0,0.49629059350503907,0.9412844115477526,0.9461043789556082,0.2
PROTEINGYM_RASK_HUMAN_Weng_2022_binding-DARPin_K55|T4_single_context_combo_ranking|0001,95,95,0,0,0,95,5,5,0,0,0,0,0.5956187010078386,0.9675384678305626,0.9894030796081941,0.4
PROTEINGYM_YAP1_HUMAN_Araya_2012|T4_single_context_combo_ranking|0001,90,90,0,0,0,90,5,5,0,0,0,0,0.3714614973041939,0.6562240163618075,0.2393337099106874,0.2
