assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.561836183618362,0.9752084618299204,1.0,0.2
COMBINGYM_HIV-1_protease_fitness,100,100,0,0,0,100,5,5,0,0,0,0,0.39067506750675074,0.8762273450445461,1.0,0.6
COMBINGYM_SaCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.0005760576057605762,0.9471120745661077,1.0,0.4
COMBINGYM_SpCas9_editing_activity_mean,100,100,0,0,0,100,5,5,0,0,0,0,0.1815661566156616,0.926856990874004,1.0,0.2
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.6688637206738273,0.79349831710433,0.6984300617333415,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean,100,100,0,0,0,100,5,5,0,0,0,0,-0.4970506168038864,0.8826789197174505,0.6482081892729408,0.0
COMBINGYM_eqFP611_blue_fluorescence,100,100,0,0,0,100,5,5,0,0,0,0,0.16763276327632767,0.8286509344542912,0.9511280351238373,0.2
FLAB_binding_hie2023efficient_MEDIUCA_H1Solomon_Kd,11,11,0,0,0,11,5,5,0,0,0,0,-0.7090909090909091,0.6800654589904231,0.8316865202570582,0.2
FLAB_binding_hutchinson2023enhancement_multikd_fab,10,10,0,0,0,10,5,5,0,0,0,0,-0.3939393939393939,0.6775765752678974,0.7455806569042203,0.4
FLAB_binding_hutchinson2023enhancement_top200kd_fab,42,42,0,0,0,42,5,5,0,0,0,0,-0.7227129081922048,0.6961722881062583,0.5026476632867644,0.0
FLAB_binding_kothiwal2025htp_IL23R_ec50,13,13,0,0,0,13,5,5,0,0,0,0,-0.13736263736263737,0.7415236104853441,0.9603933351543295,0.2
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2,100,100,0,0,0,100,5,5,0,0,0,0,-0.17600960096009605,0.8771485148578861,0.8327591546683825,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant,100,100,0,0,0,100,5,5,0,0,0,0,0.6352355235523554,0.9294537959619434,0.9763516594813492,0.4
FLAB_binding_peterson2024integrated_ab_H1HA_kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.3165386034775828,0.37397513492066364,0.013167305786548327,0.0
FLAB_binding_rosace2023automated_kd_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,0.610479943754795,0.961287062791407,1.0,0.8
FLAB_binding_shanehsazzadeh2024igdesign_Bimagrumab-ACVR2B_kd,18,18,0,0,0,18,5,5,0,0,0,0,-0.180785220434732,0.5935184860847635,0.47981534931142394,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Eculizumab-C5_kd,30,30,0,0,0,30,5,5,0,0,0,0,-0.15506117908787545,0.5639304402034512,0.17305970660958464,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd,45,45,0,0,0,45,5,5,0,0,0,0,-0.4478260869565217,0.5353663834556558,0.19257773319959837,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd,32,32,0,0,0,32,5,5,0,0,0,0,-0.22656035288994583,0.7501448750503594,1.0,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd,100,100,0,0,0,100,5,5,0,0,0,0,0.22076269925025868,0.7568259764933666,0.5860804746446416,0.0
FLAB_binding_shanehsazzadeh2024igdesign_Utomilumab-TNFRSF9_kd,30,30,0,0,0,30,5,5,0,0,0,0,-0.057174638487208024,0.69819598560515,0.691598723856788,0.2
FLAB_binding_shanker2024unsupervised_Ly1404-BQ.1.1_IC50,14,14,0,0,0,14,5,5,0,0,0,0,0.5060509112826413,0.6758670169810783,1.0,0.6
FLAB_binding_warszawski2019_d44_Kd,100,100,0,0,0,100,5,5,0,0,0,0,-0.1368697400355037,0.8490373882812038,0.5480657335705797,0.0
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er,100,100,0,0,0,100,5,5,0,0,0,0,0.13681368136813685,0.9586528889512855,0.8928983577493822,0.2
FLAB_polyreactivity_rosace2023automated_CICRT1_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,0.19090909090909092,0.9407863348493711,1.0,0.4
FLAB_thermostability_hutchinson2023enhancement_multitm1_igg,10,10,0,0,0,10,5,5,0,0,0,0,0.2735574946560291,0.7887006468740431,1.0,0.6
FLAB_thermostability_rosace2023automated_tm1_adalimumab,11,11,0,0,0,11,5,5,0,0,0,0,0.6090909090909091,0.9736979930522327,0.9657534246575342,0.6
MEGASCALE_processed_dataset2_3_1CSQ.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5287368736873689,0.9636674920654624,0.9723839245412431,0.4
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.33729372937293733,0.9443742852096579,1.0,0.6
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6337353735373539,0.9607559029622161,0.9638672722191266,0.8
MEGASCALE_processed_dataset2_3_1PSE.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.17003300330033005,0.8208787134819658,1.0,0.2
