assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5732973297329734,0.9698701766625115,0.9752831098272989,0.2
COMBINGYM_HIV-1_protease_fitness|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3804980498049806,0.9459806589867837,0.9982496679600095,0.6
COMBINGYM_SaCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.007020702070207022,0.9224617632376636,1.0,0.2
COMBINGYM_SpCas9_editing_activity_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.10215421542154217,0.885461365623163,0.6601031616848514,0.0
COMBINGYM_bnAbs_CR6261_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.47452745274527464,0.8824867382898488,0.7338843796233067,0.0
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.5247164716471648,0.8812021270312015,0.909522804985432,0.0
COMBINGYM_eqFP611_blue_fluorescence|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.17830183018301834,0.8162042934212506,0.9116787868415497,0.2
FLAB_binding_hutchinson2023enhancement_top200kd_fab|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.519298245614035,0.706409607504322,0.33344397282062593,0.0
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.436927692769277,0.7636803747238036,0.4927728867930876,0.0
FLAB_binding_makowksi2022cooptimization_iso_ant|T3_anchor_successor_ranking|0001,46,46,0,0,0,46,5,5,0,0,0,0,0.685723095898859,0.9385809761845282,1.0,0.4
FLAB_binding_phillips2021binding_cr9114_h1_kd|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.23581520180279944,0.9646239247613084,0.9644984983478545,0.0
FLAB_binding_shanehsazzadeh2023unlocking_zerokd_trastuzumab|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,0.5958679392792656,0.9381327710752789,0.9310344827586214,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Osocimab-FXI_kd|T3_anchor_successor_ranking|0001,11,11,0,0,0,11,5,5,0,0,0,0,-0.4727272727272727,0.6161620547552151,1.0,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Spesolimab-IL36R_kd|T3_anchor_successor_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,-0.5340659340659341,0.4271720917932921,0.23964593613793864,0.2
FLAB_binding_shanehsazzadeh2024igdesign_Tezepelumab-TSLP_kd|T3_anchor_successor_ranking|0001,28,28,0,0,0,28,5,5,0,0,0,0,0.5175858814037397,0.8122531407471886,0.9333639705882356,0.6
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T3_anchor_successor_ranking|0001,24,24,0,0,0,24,5,5,0,0,0,0,0.20782608695652174,0.8298676601740229,0.4855594051359057,0.4
MEGASCALE_processed_dataset2_3_1CSQ.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.694736842105263,0.9718650321163939,1.0,0.8
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.8947368421052629,0.9910015819941095,1.0,1.0
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.7842105263157894,0.9621881475362453,1.0,0.8
MEGASCALE_processed_dataset2_3_1PSE.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.2228070175438596,0.6366482274795047,1.0,0.4
MEGASCALE_processed_dataset2_3_1QKH.pdb_protein_stability|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,-0.23037323037323038,0.8126964301544993,0.5172293592592059,0.0
