assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
COMBINGYM_CreiLOV_fluorescence_log_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5385298529852987,0.9719525037957827,0.9664507862425904,0.2
COMBINGYM_HIV-1_protease_fitness|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.1915631563156316,0.862866616858408,0.9231469830429551,0.4
COMBINGYM_SaCas9_editing_activity_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.09620162016201622,0.892520808964183,1.0,0.2
COMBINGYM_bnAbs_CR9114_H1_binding_H1_mean|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.40076807680768084,0.852301736465965,0.494606163924296,0.0
COMBINGYM_eqFP611_blue_fluorescence|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.09183318331833185,0.7871678902229277,1.0,0.2
FLAB_binding_li2023machine_scFv-SARS-CoV-2_affinity2|T4_single_context_combo_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.336688915636284,0.7462617823353523,0.3500978416005333,0.0
FLAB_binding_peterson2024integrated_ab_H1HA_kd|T4_single_context_combo_ranking|0001,39,39,0,0,0,39,5,5,0,0,0,0,-0.19616377372154,0.6135982039225758,0.1867923373523472,0.0
FLAB_binding_shanker2024unsupervised_Ly1404-BQ.1.1_IC50|T4_single_context_combo_ranking|0001,14,14,0,0,0,14,5,5,0,0,0,0,0.5060509112826413,0.6758670169810783,1.0,0.6
FLAB_expression_adams2017measuring_4420-fluorescein_exp_er|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3331653165316532,0.9306672619278272,0.6654744106681958,0.2
MEGASCALE_processed_dataset2_3_1F0M.pdb_protein_stability|T4_single_context_combo_ranking|0001,97,97,0,0,0,97,5,5,0,0,0,0,0.24722543656637913,0.9441625382643343,1.0,0.8
MEGASCALE_processed_dataset2_3_1O6X.pdb_protein_stability|T4_single_context_combo_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6845364536453646,0.9758576328224217,1.0,1.0
