assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,NMS@40,Recall@40
CDKN2A_elife_95347_supp4_supp6,2964,2964,0,0,0,2964,40,40,0,0,0,0,0.4375624333204977,0.0
FLAB_binding_koenig2017mutational_kd_g6,4275,4275,0,0,0,4275,40,40,0,0,0,0,0.6761514237442842,0.0
HUMAN_DOMAINOME_A0A2R8Y422_PF00240_2,1300,1300,0,0,0,1300,40,40,0,0,0,0,0.664543714154968,0.05
HUMAN_DOMAINOME_O14529_PF02376_1036,1659,1659,0,0,0,1659,40,40,0,0,0,0,0.9154277783339625,0.05
HUMAN_DOMAINOME_O14529_PF02376_895,1283,1283,0,0,0,1283,40,40,0,0,0,0,0.8471592770031673,0.175
HUMAN_DOMAINOME_O14640_PF00778_4,1425,1425,0,0,0,1425,40,40,0,0,0,0,0.8484025111100697,0.025
HUMAN_DOMAINOME_O14776_PF01846_645,1299,1299,0,0,0,1299,40,40,0,0,0,0,0.9984220681697291,0.1
HUMAN_DOMAINOME_O14936_PF00595_488,1536,1536,0,0,0,1536,40,40,0,0,0,0,0.9401025179340278,0.05
HUMAN_DOMAINOME_O43353_PF00619_438,1347,1347,0,0,0,1347,40,40,0,0,0,0,0.8389173832901551,0.15
HUMAN_DOMAINOME_O60341_PF04433_186,1484,1484,0,0,0,1484,40,40,0,0,0,0,0.9396982372197804,0.075
HUMAN_DOMAINOME_O75112_PF00595_1,1565,1565,0,0,0,1565,40,40,0,0,0,0,0.8767213127753505,0.125
HUMAN_DOMAINOME_O75369_PF00630_1423,1695,1695,0,0,0,1695,40,40,0,0,0,0,0.815480435099032,0.025
HUMAN_DOMAINOME_O75369_PF00630_2289,1691,1691,0,0,0,1691,40,40,0,0,0,0,0.9032725265787487,0.075
HUMAN_DOMAINOME_O75970_PF00595_1003,1672,1672,0,0,0,1672,40,40,0,0,0,0,0.9629970562804209,0.125
HUMAN_DOMAINOME_O75970_PF00595_693,1790,1790,0,0,0,1790,40,40,0,0,0,0,0.6693771272948381,0.025
HUMAN_DOMAINOME_O94885_PF00536_630,1321,1321,0,0,0,1321,40,40,0,0,0,0,1.0,0.325
HUMAN_DOMAINOME_O95155_PF04564_1229,1206,1206,0,0,0,1206,40,40,0,0,0,0,0.9080668117812503,0.15
HUMAN_DOMAINOME_O95718_PF00105_100,1452,1452,0,0,0,1452,40,40,0,0,0,0,0.9355842522654111,0.05
HUMAN_DOMAINOME_P02585_PF13499_1,1544,1544,0,0,0,1544,40,40,0,0,0,0,0.8594137271559878,0.0
HUMAN_DOMAINOME_P02633_PF01023_1,1500,1500,0,0,0,1500,40,40,0,0,0,0,0.8484942192702416,0.05
HUMAN_DOMAINOME_P03034_PF01381_4,1426,1426,0,0,0,1426,40,40,0,0,0,0,0.8882676183647163,0.15
HUMAN_DOMAINOME_P04150_PF00105_419,1410,1410,0,0,0,1410,40,40,0,0,0,0,0.7724414261263448,0.075
HUMAN_DOMAINOME_P05813_PF00030_31,1666,1666,0,0,0,1666,40,40,0,0,0,0,0.7951007219708243,0.05
HUMAN_DOMAINOME_P07316_PF00030_87,1650,1650,0,0,0,1650,40,40,0,0,0,0,0.9443080713089141,0.025
HUMAN_DOMAINOME_P07320_PF00030_90,1454,1454,0,0,0,1454,40,40,0,0,0,0,0.7632327432992885,0.0
HUMAN_DOMAINOME_P09086_PF00157_200,1271,1271,0,0,0,1271,40,40,0,0,0,0,0.8742545472078334,0.025
HUMAN_DOMAINOME_P10589_PF00105_83,1437,1437,0,0,0,1437,40,40,0,0,0,0,0.8444497520600295,0.075
HUMAN_DOMAINOME_P10826_PF00105_85,1451,1451,0,0,0,1451,40,40,0,0,0,0,0.9375857790325628,0.025
HUMAN_DOMAINOME_P11308_PF02198_117,1527,1527,0,0,0,1527,40,40,0,0,0,0,0.7725678201387768,0.0
HUMAN_DOMAINOME_P11844_PF00030_85,1679,1679,0,0,0,1679,40,40,0,0,0,0,0.7286515381359259,0.05
HUMAN_DOMAINOME_P13796_PF13499_13,1537,1537,0,0,0,1537,40,40,0,0,0,0,0.8929512382616162,0.1
HUMAN_DOMAINOME_P14859_PF00157_285,1234,1234,0,0,0,1234,40,40,0,0,0,0,0.8793526213962914,0.0
HUMAN_DOMAINOME_P14921_PF02198_55,1479,1479,0,0,0,1479,40,40,0,0,0,0,0.9588285639258021,0.15
HUMAN_DOMAINOME_P15056_PF02196_153,1437,1437,0,0,0,1437,40,40,0,0,0,0,0.8695621379297699,0.1
HUMAN_DOMAINOME_P16157_PF00531_1405,1428,1428,0,0,0,1428,40,40,0,0,0,0,0.7984269483781321,0.175
HUMAN_DOMAINOME_P16989_PF00313_84,1633,1633,0,0,0,1633,40,40,0,0,0,0,0.9382417228409685,0.075
HUMAN_DOMAINOME_P20265_PF00157_262,1429,1429,0,0,0,1429,40,40,0,0,0,0,0.8366501119370581,0.05
HUMAN_DOMAINOME_P22914_PF00030_96,1402,1402,0,0,0,1402,40,40,0,0,0,0,0.8034507235221235,0.025
MAVEDB_urn_mavedb_00000074-a-1,4323,4323,0,0,0,4323,40,40,0,0,0,0,0.8056327318262225,0.025
MAVEDB_urn_mavedb_00000077-a-1,2986,2986,0,0,0,2986,40,40,0,0,0,0,0.7498120942944996,0.0
MAVEDB_urn_mavedb_00000088-a-1,9462,9462,0,0,0,9462,40,40,0,0,0,0,0.45034092050080327,0.0
MAVEDB_urn_mavedb_00000092-a-1,10716,10716,0,0,0,10716,40,40,0,0,0,0,0.395153031187259,0.0
MAVEDB_urn_mavedb_00000110-a-1,4004,4004,0,0,0,4004,40,40,0,0,0,0,0.7598496349260845,0.0
MAVEDB_urn_mavedb_00000110-a-2,4003,4003,0,0,0,4003,40,40,0,0,0,0,0.6778455076516469,0.0
MAVEDB_urn_mavedb_00000110-a-3,3994,3994,0,0,0,3994,40,40,0,0,0,0,0.8034342219381926,0.0
MAVEDB_urn_mavedb_00000115-a-1,3342,3342,0,0,0,3342,40,40,0,0,0,0,0.32148412550258637,0.0
MAVEDB_urn_mavedb_00000115-a-2,3264,3264,0,0,0,3264,40,40,0,0,0,0,0.48043945552828615,0.0
MAVEDB_urn_mavedb_00000115-a-4,3082,3082,0,0,0,3082,40,40,0,0,0,0,0.42137053759741483,0.0
MAVEDB_urn_mavedb_00000115-a-6,3301,3301,0,0,0,3301,40,40,0,0,0,0,0.3528255057983247,0.0
MAVEDB_urn_mavedb_00000660-a-1,8215,8215,0,0,0,8215,40,40,0,0,0,0,0.7893723261064614,0.0
MAVEDB_urn_mavedb_00000674-a-1,2320,2320,0,0,0,2320,40,40,0,0,0,0,0.8180755915607357,0.0
MAVEDB_urn_mavedb_00000674-b-1,2320,2320,0,0,0,2320,40,40,0,0,0,0,0.8180755915607356,0.0
MAVEDB_urn_mavedb_00000692-a-1,1154,1154,0,0,0,1154,40,40,0,0,0,0,0.892643514771255,0.1
MAVEDB_urn_mavedb_00000694-a-1,1338,1338,0,0,0,1338,40,40,0,0,0,0,1.0,0.025
MAVEDB_urn_mavedb_00000749-a-1,1271,1271,0,0,0,1271,40,40,0,0,0,0,0.7910605471197508,0.125
MAVEDB_urn_mavedb_00000751-a-1,1172,1172,0,0,0,1172,40,40,0,0,0,0,1.0,0.075
MAVEDB_urn_mavedb_00000864-a-1,1122,1122,0,0,0,1122,40,40,0,0,0,0,0.9048758504984371,0.0
MAVEDB_urn_mavedb_00000865-a-1,1093,1093,0,0,0,1093,40,40,0,0,0,0,0.8271472449137754,0.0
MAVEDB_urn_mavedb_00001002-a-1,1250,1250,0,0,0,1250,40,40,0,0,0,0,0.958702086567832,0.175
MAVEDB_urn_mavedb_00001087-a-1,1291,1291,0,0,0,1291,40,40,0,0,0,0,0.8536841596240611,0.125
MAVEDB_urn_mavedb_00001212-a-2,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.7552804533890861,0.0
MAVEDB_urn_mavedb_00001212-a-3,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.789567671939453,0.0
MAVEDB_urn_mavedb_00001212-a-4,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.6792607134372565,0.0
MAVEDB_urn_mavedb_00001217-a-1,2632,2632,0,0,0,2632,40,40,0,0,0,0,0.8286760266530785,0.025
MAVEDB_urn_mavedb_00001217-a-2,2605,2605,0,0,0,2605,40,40,0,0,0,0,0.8378369251550066,0.025
MAVEDB_urn_mavedb_00001217-a-4,2655,2655,0,0,0,2655,40,40,0,0,0,0,0.8000796723419065,0.0
MAVEDB_urn_mavedb_00001218-a-2,4802,4802,0,0,0,4802,40,40,0,0,0,0,0.43938984142364473,0.0
MAVEDB_urn_mavedb_00001249-a-1,2585,2585,0,0,0,2585,40,40,0,0,0,0,0.8488935157753847,0.025
MAVEDB_urn_mavedb_00001249-a-2,2593,2593,0,0,0,2593,40,40,0,0,0,0,0.8675648912228496,0.025
MAVEDB_urn_mavedb_00001249-a-3,2591,2591,0,0,0,2591,40,40,0,0,0,0,0.49192724065626237,0.025
MAVEDB_urn_mavedb_00001252-a-1,8065,8065,0,0,0,8065,40,40,0,0,0,0,0.8871759175977819,0.0
MAVEDB_urn_mavedb_00001252-a-2,8080,8080,0,0,0,8080,40,40,0,0,0,0,0.8132972642637314,0.0
MAVEDB_urn_mavedb_00001266-b-1,9676,9676,0,0,0,9676,40,40,0,0,0,0,0.8995428826997884,0.025
MAVEDB_urn_mavedb_00001267-a-1,3482,3482,0,0,0,3482,40,40,0,0,0,0,0.9095789603008666,0.025
MAVEDB_urn_mavedb_00001267-a-2,3531,3531,0,0,0,3531,40,40,0,0,0,0,0.9154665633116883,0.025
MAVEDB_urn_mavedb_00001267-b-1,5409,5409,0,0,0,5409,40,40,0,0,0,0,0.8294605160275894,0.0
MAVEDB_urn_mavedb_00001269-a-1,15507,15507,0,0,0,15507,40,40,0,0,0,0,0.8174108279966692,0.0
MAVEDB_urn_mavedb_00001270-a-1,22536,22536,0,0,0,22536,40,40,0,0,0,0,0.47559003999958543,0.0
MAVEDB_urn_mavedb_00001270-a-10,22533,22533,0,0,0,22533,40,40,0,0,0,0,0.5819273964417659,0.0
MAVEDB_urn_mavedb_00001270-a-2,22536,22536,0,0,0,22536,40,40,0,0,0,0,0.6532083501865499,0.0
MAVEDB_urn_mavedb_00001273-a-1,3548,3548,0,0,0,3548,40,40,0,0,0,0,0.698832457934566,0.05
MAVEDB_urn_mavedb_00001274-a-1,8750,8750,0,0,0,8750,40,40,0,0,0,0,0.8610944759495895,0.025
PROTEINGYM_A0A2Z5U3Z0_9INFA_Doud_2016,10715,10715,0,0,0,10715,40,40,0,0,0,0,1.0,0.025
PROTEINGYM_A4D664_9INFA_Soh_2019,14421,14421,0,0,0,14421,40,40,0,0,0,0,0.22208795536171652,0.025
PROTEINGYM_ADRB2_HUMAN_Jones_2020,7800,7800,0,0,0,7800,40,40,0,0,0,0,0.7724630554387084,0.025
PROTEINGYM_AMIE_PSEAE_Wrenbeck_2017,6227,6227,0,0,0,6227,40,40,0,0,0,0,0.8900915903413822,0.0
PROTEINGYM_BLAT_ECOLX_Deng_2012,4996,4996,0,0,0,4996,40,40,0,0,0,0,0.6656429887418134,0.0
PROTEINGYM_C6KNH7_9INFA_Lee_2018,10754,10754,0,0,0,10754,40,40,0,0,0,0,0.7846690300924586,0.0
PROTEINGYM_ENVZ_ECOLI_Ghose_2023,1121,1121,0,0,0,1121,40,40,0,0,0,0,0.8110320165335151,0.0
PROTEINGYM_HSP82_YEAST_Flynn_2019,13294,13294,0,0,0,13294,40,40,0,0,0,0,0.5802259362790766,0.0
